Node,Hashtag,in_degree,out_degree
BTC_Archive,#Bitcoin,0,245
BitcoinMagazine,#Bitcoin,0,157
saylor,#Bitcoin,0,130
GAMBproject,#Bitcoin,0,97
rovercrc,#Bitcoin,0,81
Aptos__NFT,#Bitcoin,0,68
AltcoinDailyio,#Bitcoin,0,62
BitcoinNewsCom,#Bitcoin,0,61
danheld,#Bitcoin,0,58
MemeingBitcoin,#Bitcoin,0,49
Ishansharma7390,#chatGPT,0,294
Whistle020,#chatGPT,0,197
johnvianny,#chatGPT,0,155
bepaitoken,#chatGPT,0,126
DataChaz,#chatGPT,0,103
uCloudifyAI,#chatGPT,82,0
Aptos_insiders,#chatGPT,0,68
MeghUpdates,#chatGPT,0,58
Tyler_mbaya,#chatGPT,0,51
SlothGPT,#chatGPT,49,0
AshtonNFTs,#BoredApeYatch,0,1767
oesnetwork,#BoredApeYatch,0,966
altavagroup,#BoredApeYatch,0,87
okx,#BoredApeYatch,0,71
Hakibot_eth,#BoredApeYatch,0,57
cityapez,#BoredApeYatch,0,49
JRArtSpace_NFT,#BoredApeYatch,0,46
ggclx_,#BoredApeYatch,0,40
captainott,#BoredApeYatch,0,39
Ape4249,#BoredApeYatch,0,38
MikeHudema,#energy,0,702
dev9_,#energy,0,150
dorfman_p,#energy,0,63
Glorieux19,#energy,0,48
LarenzTate,#energy,0,42
Asikoenergyltd,#energy,0,42
powerthefuture,#energy,0,35
pwrhungry,#energy,0,32
alokkumar6994,#energy,0,26
gchahal,#energy,0,26
RollbitRewards,#Eth,0,283
nftkoosh,#Eth,0,116
iambroots,#Eth,0,92
CryptoAgresivoo,#Eth,0,80
MrShinyBird,#Eth,0,77
SaitamaDubai,#Eth,0,74
SHIBONKSOL,#Eth,0,73
ShibonkSolana,#Eth,0,69
PikaMoonCoin,#Eth,0,61
OronCrypto,#Eth,0,57
quakes99,#uranium,10,306
UrTokenCorgi,#uranium,11,85
capnek123,#uranium,1,87
BambroughKevin,#uranium,2,69
AmirAdnani,#uranium,4,51
DWBlack14,#uranium,48,7
CNBCWEX,#uranium,0,52
patrickadownes,#uranium,5,46
JekyllCapital,#uranium,3,43
skysurfer75,#uranium,0,45
